,K,batch_size,beta,epochs,best_train_accuracy,best_eval_accuracy,min_train_loss,min_eval_loss,std_train_loss,std_eval_loss,mean_epoch_time,status
splm_optimizer__hinge_loss__2021_06_12__18_12_37,100,100,100000.0,200,0.09300000000000003,0.11,0.854426383972168,0.9118674397468567,0.017600606775646642,0.0003500637408061198,3.604927804470062,successful
splm_optimizer__hinge_loss__2021_06_12__18_25_07,100,100,10000.0,200,0.16200000000000003,0.2,0.8689069747924805,0.897526741027832,0.012128768004104387,0.006030575811890766,3.5955391156673433,successful
splm_optimizer__hinge_loss__2021_06_12__18_37_35,100,100,1000.0,200,0.5329999999999999,0.49,0.8501115441322327,0.8585527539253235,0.014024366365386997,0.012896231713193308,3.7238892698287964,successful
splm_optimizer__hinge_loss__2021_06_12__18_50_28,100,100,100.0,100,0.677,0.69,0.1739347279071808,0.1870526671409607,0.24647524745426205,0.25780272204387167,3.952319405078888,successful
splm_optimizer__hinge_loss__2021_06_12__18_57_20,100,100,10.0,100,0.6619999999999999,0.66,0.19908346235752106,0.2019333839416504,4.0395468087944783e+27,3.397414939816402e+27,4.034701988697052,successful
splm_optimizer__hinge_loss__2021_06_12__19_04_20,29,100,100000.0,200,0.09300000000000003,0.11,0.854426383972168,0.9118674397468567,0.017600606775646642,0.0003500637408061198,3.38564618229866,successful
splm_optimizer__hinge_loss__2021_06_12__19_16_07,29,100,10000.0,200,0.16200000000000003,0.2,0.8689069151878357,0.897526741027832,0.012128776917383184,0.006030568953928568,3.4410534858703614,successful
splm_optimizer__hinge_loss__2021_06_12__19_28_05,29,100,1000.0,200,0.5329999999999999,0.49,0.8501116037368774,0.8585529327392578,0.014024337013724377,0.012896195642562239,3.371487067937851,successful
splm_optimizer__hinge_loss__2021_06_12__19_39_49,29,100,100.0,100,0.677,0.69,0.17393462359905243,0.18705247342586517,0.24647522731480498,0.2578026927524871,3.5586735343933107,successful
splm_optimizer__hinge_loss__2021_06_12__19_46_01,29,100,10.0,100,0.6619999999999999,0.66,0.19908356666564941,0.20193345844745636,4.0835159265166436e+27,3.4526975895815604e+27,3.499987177848816,successful
splm_optimizer__hinge_loss__2021_06_12__19_52_08,52,100,100000.0,200,0.09300000000000003,0.11,0.854426383972168,0.9118674397468567,0.017600606775646642,0.0003500637408061198,3.465313092470169,successful
splm_optimizer__hinge_loss__2021_06_12__20_04_10,52,100,10000.0,200,0.16200000000000003,0.2,0.8689069151878357,0.897526741027832,0.012128772759959928,0.0060305666620777045,3.4440244042873385,successful
splm_optimizer__hinge_loss__2021_06_12__20_16_08,52,100,1000.0,200,0.5329999999999999,0.49,0.8501116037368774,0.8585527539253235,0.014024356209734334,0.012896219942488175,3.524553096294403,successful
splm_optimizer__hinge_loss__2021_06_12__20_28_22,52,100,100.0,100,0.677,0.69,0.17393474280834198,0.1870526671409607,0.24647528260104745,0.25780274277055143,3.648385329246521,successful
splm_optimizer__hinge_loss__2021_06_12__20_34_44,52,100,10.0,100,0.6619999999999999,0.66,0.1990836262702942,0.20193353295326233,4.0900073204760226e+27,3.430757802404422e+27,3.679759109020233,successful
splm_optimizer__hinge_loss__2021_06_12__20_41_08,5,100,100000.0,200,0.09300000000000003,0.11,0.854426383972168,0.9118674397468567,0.017600606775646642,0.0003500637408061198,3.286692752838135,successful
splm_optimizer__hinge_loss__2021_06_12__20_52_36,5,100,10000.0,200,0.16200000000000003,0.2,0.8689069151878357,0.8975266814231873,0.012128774084251276,0.006030571897751628,3.3135233080387114,successful
splm_optimizer__hinge_loss__2021_06_12__21_04_09,5,100,1000.0,200,0.5329999999999999,0.49,0.8501124978065491,0.8585536479949951,0.014024167999742349,0.012896059367072821,3.3128058421611786,successful
splm_optimizer__hinge_loss__2021_06_12__21_15_42,5,100,100.0,100,0.6779999999999999,0.69,0.17377646267414093,0.18669374287128448,0.24653301133623134,0.25791502774124525,3.3266668772697447,successful
splm_optimizer__hinge_loss__2021_06_12__21_21_32,5,100,10.0,100,0.6619999999999999,0.66,0.19604915380477905,0.1978592574596405,4.2339809805968386e+27,3.664934814562308e+27,3.364335675239563,successful
splm_optimizer__hinge_loss__2021_06_12__21_27_26,76,100,100000.0,200,0.09300000000000003,0.11,0.854426383972168,0.9118674397468567,0.017600606775646642,0.0003500637408061198,3.5254839277267456,successful
splm_optimizer__hinge_loss__2021_06_12__21_39_41,76,100,10000.0,200,0.16200000000000003,0.2,0.8689069747924805,0.897526741027832,0.012128779924726388,0.006030565157751318,3.5510125052928925,successful
splm_optimizer__hinge_loss__2021_06_12__21_52_00,76,100,1000.0,200,0.5329999999999999,0.49,0.8501115441322327,0.8585529327392578,0.014024365112546852,0.012896234823218678,3.595096811056137,successful
splm_optimizer__hinge_loss__2021_06_12__22_04_28,76,100,100.0,100,0.677,0.69,0.1739346981048584,0.1870526671409607,0.24647525916930513,0.2578027418856631,3.869135196208954,successful
splm_optimizer__hinge_loss__2021_06_12__22_11_11,76,100,10.0,100,0.6619999999999999,0.66,0.199083611369133,0.20193347334861755,4.1185325054204246e+27,3.4619856233147565e+27,3.8307793974876403,successful
splm_optimizer__hinge_loss__2021_06_12__22_22_13,100,2,100000.0,200,0.3740000000000003,0.3100000000000001,0.6978281736373901,0.8761922121047974,0.05321311964924623,0.04146258875216789,32.769259039163586,successful
splm_optimizer__hinge_loss__2021_06_13__00_13_02,100,2,10000.0,200,0.8140000000000006,0.7700000000000004,0.6963476538658142,0.7671843767166138,0.041052483350462084,0.04146501166379769,32.832889889478686,successful
splm_optimizer__hinge_loss__2021_06_13__02_04_04,100,2,1000.0,200,0.8370000000000006,0.8100000000000004,-0.10000000149011612,-0.10000000149011612,14736850.005119752,3617986.3836354273,34.660244729518894,successful
splm_optimizer__hinge_loss__2021_06_13__04_01_11,100,2,100.0,100,0.7710000000000006,0.7000000000000003,-0.10000000149011612,-0.10000000149011612,,,42.523971104621886,successful
splm_optimizer__hinge_loss__2021_06_13__05_12_54,100,2,10.0,100,0.47400000000000037,0.48000000000000015,-0.10000000149011612,-0.10000000149011612,,,55.544746253490445,successful
splm_optimizer__hinge_loss__2021_06_13__06_46_19,29,2,100000.0,200,0.3740000000000003,0.3100000000000001,0.6978281736373901,0.8761922717094421,0.053213111951272145,0.041462593589109795,24.528077055215835,successful
splm_optimizer__hinge_loss__2021_06_13__08_09_41,29,2,10000.0,200,0.8140000000000006,0.7700000000000004,0.6963469386100769,0.7671837210655212,0.04105258990435503,0.04146508829665833,24.64466255784035,successful
splm_optimizer__hinge_loss__2021_06_13__09_33_28,29,2,1000.0,200,0.8370000000000006,0.8100000000000004,-0.10000000149011612,-0.10000000149011612,14807926.734193701,3566898.9016192337,23.695432161092757,successful
