,K,batch_size,beta,epochs,best_train_accuracy,best_eval_accuracy,min_train_loss,min_eval_loss,std_train_loss,std_eval_loss,mean_epoch_time,status
splm_optimizer__hinge_loss__2021_06_13__10_54_04,29,2,100.0,100,0.7710000000000006,0.7000000000000003,-0.10000000149011612,-0.10000000149011612,,,27.207067227363588,successful
splm_optimizer__hinge_loss__2021_06_13__11_40_16,29,2,10.0,100,0.45300000000000035,0.5000000000000002,-0.10000000149011612,-0.10000000149011612,,,33.721471989154814,successful
splm_optimizer__hinge_loss__2021_06_13__12_37_23,52,2,100000.0,200,0.3740000000000003,0.3100000000000001,0.6978281736373901,0.8761922717094421,0.05321310218150359,0.04146259634083793,26.041620095968245,successful
splm_optimizer__hinge_loss__2021_06_13__14_05_50,52,2,10000.0,200,0.8140000000000006,0.7700000000000004,0.6963475942611694,0.7671843767166138,0.0410524775364449,0.04146502816512448,25.963122503757475,successful
splm_optimizer__hinge_loss__2021_06_13__15_33_59,52,2,1000.0,200,0.8370000000000006,0.8100000000000004,-0.10000000149011612,-0.10000000149011612,14758473.129911818,3646365.2857303875,27.25201702237129,successful
splm_optimizer__hinge_loss__2021_06_13__17_06_26,52,2,100.0,100,0.7710000000000006,0.7000000000000003,-0.10000000149011612,-0.10000000149011612,,,31.799863646030428,successful
splm_optimizer__hinge_loss__2021_06_13__18_00_16,52,2,10.0,100,0.47800000000000037,0.5200000000000002,-0.10000000149011612,-0.10000000149011612,,,39.69251450777054,successful
splm_optimizer__hinge_loss__2021_06_13__19_07_15,5,2,100000.0,200,0.3740000000000003,0.3100000000000001,0.6978282928466797,0.876194179058075,0.053213243964340774,0.04146198179671903,24.210799361467362,successful
splm_optimizer__hinge_loss__2021_06_13__20_29_37,5,2,10000.0,200,0.8150000000000006,0.7700000000000004,0.6963305473327637,0.7672343850135803,0.04106263594133321,0.04146437003586345,24.36741988658905,successful
splm_optimizer__hinge_loss__2021_06_13__21_52_31,5,2,1000.0,200,0.8460000000000006,0.7800000000000005,-0.10000000149011612,-0.10000000149011612,33158899.632636167,12387553.60465071,24.79943566560745,successful
splm_optimizer__hinge_loss__2021_06_13__23_16_50,5,2,100.0,100,0.7910000000000006,0.7400000000000004,-0.10000000149011612,-0.10000000149011612,,,25.22780000925064,successful
splm_optimizer__hinge_loss__2021_06_13__23_59_45,5,2,10.0,100,0.5920000000000004,0.6600000000000003,-0.10000000149011612,-0.10000000149011612,,,25.394103639125824,successful
splm_optimizer__hinge_loss__2021_06_14__00_42_55,76,2,100000.0,200,0.3740000000000003,0.3100000000000001,0.6978281736373901,0.8761922717094421,0.05321311784872987,0.04146258311780338,29.92633601427078,successful
splm_optimizer__hinge_loss__2021_06_14__02_24_16,76,2,10000.0,200,0.8140000000000006,0.7700000000000004,0.6963472962379456,0.7671841382980347,0.04105253337899313,0.04146506159436747,30.126392755508423,successful
splm_optimizer__hinge_loss__2021_06_14__04_06_17,76,2,1000.0,200,0.8370000000000006,0.8100000000000004,-0.10000000149011612,-0.10000000149011612,14751027.248757478,3634884.411030045,31.127150378227235,successful
splm_optimizer__hinge_loss__2021_06_14__05_51_39,76,2,100.0,100,0.7710000000000006,0.7000000000000003,-0.10000000149011612,-0.10000000149011612,,,37.118217372894286,successful
splm_optimizer__hinge_loss__2021_06_14__06_54_21,76,2,10.0,100,0.45400000000000035,0.5300000000000002,-0.10000000149011612,-0.10000000149011612,,,48.073816168308255,successful
splm_optimizer__hinge_loss__2021_06_12__18_00_32,5,2,10.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__18_02_29,5,2,10.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__18_05_16,5,2,10.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__18_06_06,5,2,10.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__18_07_26,5,2,10.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_17_51,100,26,100000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_18_02,100,26,10000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_18_12,100,26,1000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_18_23,100,26,100.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_18_34,100,26,10.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_18_47,29,26,100000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_18_57,29,26,10000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_19_07,29,26,1000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_19_17,29,26,100.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_19_27,29,26,10.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_19_37,52,26,100000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_19_48,52,26,10000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_19_58,52,26,1000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_20_08,52,26,100.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_20_19,52,26,10.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_20_30,5,26,100000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_20_39,5,26,10000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_20_49,5,26,1000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_20_59,5,26,100.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_21_09,5,26,10.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_21_19,76,26,100000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_21_29,76,26,10000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_21_40,76,26,1000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_21_50,76,26,100.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_12__22_22_02,76,26,10.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_15_19,100,51,100000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_15_28,100,51,10000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_15_37,100,51,1000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_15_47,100,51,100.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_15_56,100,51,10.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_16_06,29,51,100000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_16_15,29,51,10000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_16_23,29,51,1000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_16_32,29,51,100.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_16_41,29,51,10.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_16_50,52,51,100000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_16_59,52,51,10000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_17_08,52,51,1000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_17_17,52,51,100.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_17_26,52,51,10.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_17_35,5,51,100000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_17_44,5,51,10000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_17_52,5,51,1000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_18_01,5,51,100.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_18_10,5,51,10.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_18_19,76,51,100000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_18_28,76,51,10000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_18_37,76,51,1000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_18_46,76,51,100.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_18_55,76,51,10.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_19_05,100,76,100000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_19_13,100,76,10000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_19_22,100,76,1000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_19_30,100,76,100.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_19_39,100,76,10.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_19_48,29,76,100000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_19_56,29,76,10000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_20_04,29,76,1000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_20_12,29,76,100.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_20_21,29,76,10.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_20_29,52,76,100000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_20_38,52,76,10000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_20_46,52,76,1000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_20_54,52,76,100.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_21_03,52,76,10.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_21_11,5,76,100000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_21_20,5,76,10000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_21_28,5,76,1000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_21_36,5,76,100.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_21_44,5,76,10.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_21_52,76,76,100000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_22_00,76,76,10000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_22_09,76,76,1000.0,200,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_22_17,76,76,100.0,100,,,,,,,,failed
splm_optimizer__hinge_loss__2021_06_14__08_22_26,76,76,10.0,100,,,,,,,,failed
