,K,batch_size,beta,epochs,scheduler_type,step_size,gamma,best_train_accuracy,best_eval_accuracy,best_train_loss,best_eval_loss,std_train_loss,std_eval_loss,mean_epoch_time,status
splm_optimizer__hinge_loss__2021_06_25__21_46_07,50,1000,20,20,step_beta,5,1,0.6188,0.5715,0.23308777809143066,0.2854269742965698,0.24054762143012928,0.2315534994419767,15.322447967529296,successful
splm_optimizer__hinge_loss__2021_06_25__21_51_43,50,1000,20,20,step_beta,5,2,0.6176999999999999,0.5725,0.6823276281356812,0.7256625890731812,0.0637910823892095,0.05069048892904414,15.593257284164428,successful
splm_optimizer__hinge_loss__2021_06_25__21_57_25,50,1000,20,20,step_beta,5,3,0.6178999999999999,0.5715,0.7728198170661926,0.7984362244606018,0.03464337367399894,0.027795521495222204,15.30217660665512,successful
splm_optimizer__hinge_loss__2021_06_25__22_03_01,50,1000,20,20,step_beta,5,4,0.6139,0.5715,0.795285701751709,0.8163099884986877,0.027238413657405675,0.02197630173039382,15.302391493320465,successful
splm_optimizer__hinge_loss__2021_06_25__22_08_37,50,1000,20,20,step_beta,5,5,0.6121,0.5700000000000001,0.8053527474403381,0.8242685794830322,0.023942154797283833,0.01937326737885887,15.124457669258117,successful
splm_optimizer__hinge_loss__2021_06_25__22_14_10,50,1000,20,20,step_beta,5,6,0.611,0.565,0.8110227584838867,0.8287643194198608,0.022094274116417123,0.017910119256779197,15.252656769752502,successful
splm_optimizer__hinge_loss__2021_06_25__22_19_45,50,1000,20,20,step_beta,5,7,0.6095000000000002,0.5640000000000001,0.814660370349884,0.8316389918327332,0.02091886985728945,0.01697799205047393,15.295561051368713,successful
splm_optimizer__hinge_loss__2021_06_25__22_25_21,50,1000,20,20,step_beta,5,8,0.6081,0.5625,0.8171916604042053,0.8336378335952759,0.020107631713534545,0.016333871909920576,15.128423190116882,successful
splm_optimizer__hinge_loss__2021_06_25__22_30_54,50,1000,20,20,step_beta,5,9,0.6064,0.5609999999999999,0.8190654516220093,0.8351035118103027,0.019514622470626675,0.015863256815892436,14.945656716823578,successful
splm_optimizer__hinge_loss__2021_06_25__22_36_22,50,1000,20,20,step_beta,6,10,0.6147999999999999,0.5700000000000001,0.7943868637084961,0.8159389495849609,0.028188451630823556,0.022821169005732823,15.235030579566956,successful
splm_optimizer__hinge_loss__2021_06_25__22_41_57,50,1000,20,20,step_beta,6,1,0.6188,0.5715,0.23308777809143066,0.2854269742965698,0.24054762143012928,0.2315534994419767,15.297224080562591,successful
splm_optimizer__hinge_loss__2021_06_25__22_47_33,50,1000,20,20,step_beta,6,2,0.616,0.571,0.5778408646583557,0.6336346864700317,0.09918514819304222,0.0807673517618363,15.267997598648071,successful
splm_optimizer__hinge_loss__2021_06_25__22_53_08,50,1000,20,20,step_beta,6,3,0.6187,0.5715,0.7167859077453613,0.7549865245819092,0.053407444449387435,0.042524465227071734,15.261935687065124,successful
splm_optimizer__hinge_loss__2021_06_25__22_58_44,50,1000,20,20,step_beta,6,4,0.6211,0.5725,0.754144012928009,0.7844977974891663,0.0411918468880527,0.03299939722770186,15.217625641822815,successful
splm_optimizer__hinge_loss__2021_06_25__23_04_18,50,1000,20,20,step_beta,6,5,0.6205,0.5725,0.770482063293457,0.797275185585022,0.03587483207302963,0.02884853410735322,15.028411090373993,successful
splm_optimizer__hinge_loss__2021_06_25__23_09_49,50,1000,20,20,step_beta,6,6,0.6189000000000001,0.5705,0.7795484662055969,0.8043757677078247,0.032936597445908586,0.026548633713068655,15.302848446369172,successful
splm_optimizer__hinge_loss__2021_06_25__23_15_25,50,1000,20,20,step_beta,6,7,0.6171,0.5700000000000001,0.7852846384048462,0.8088645935058594,0.03108569286933601,0.0250963363468628,15.12699282169342,successful
splm_optimizer__hinge_loss__2021_06_25__23_20_57,50,1000,20,20,step_beta,6,8,0.6154999999999999,0.5700000000000001,0.7892443537712097,0.8119575381278992,0.029816034161325066,0.024098762896379716,14.945491778850556,successful
splm_optimizer__hinge_loss__2021_06_25__23_26_26,50,1000,20,20,step_beta,6,9,0.6154000000000001,0.5695,0.7921553254127502,0.8142199516296387,0.028891059919491546,0.02337239721046963,15.321042549610137,successful
splm_optimizer__hinge_loss__2021_06_25__23_32_02,50,1000,20,20,step_beta,7,10,0.6202999999999999,0.573,0.7596791386604309,0.7888928055763245,0.04066827530461126,0.03283201364049959,15.236665225028991,successful
splm_optimizer__hinge_loss__2021_06_25__23_37_37,50,1000,20,20,step_beta,7,1,0.6188,0.5715,0.23308777809143066,0.2854269742965698,0.24054762143012928,0.2315534994419767,15.141512131690979,successful
splm_optimizer__hinge_loss__2021_06_25__23_43_09,50,1000,20,20,step_beta,7,2,0.6184999999999999,0.571,0.44314366579055786,0.5096970200538635,0.1417368400327528,0.11936429624989142,15.350881445407868,successful
splm_optimizer__hinge_loss__2021_06_25__23_48_46,50,1000,20,20,step_beta,7,3,0.6176999999999999,0.5735,0.6401534080505371,0.6896393895149231,0.07969591360003697,0.06391337831418661,15.256244838237762,successful
splm_optimizer__hinge_loss__2021_06_25__23_54_21,50,1000,20,20,step_beta,7,4,0.6179,0.571,0.6967341899871826,0.7382258176803589,0.061134070640247576,0.0487714461637823,15.095229923725128,successful
splm_optimizer__hinge_loss__2021_06_25__23_59_52,50,1000,20,20,step_beta,7,5,0.6185999999999999,0.5725,0.7222384810447693,0.759128212928772,0.05274599460378809,0.042194175677923614,15.358171784877777,successful
splm_optimizer__hinge_loss__2021_06_26__00_05_30,50,1000,20,20,step_beta,7,6,0.6202000000000001,0.5715,0.7364763617515564,0.7705588340759277,0.04810747889744559,0.03859154390054486,15.454817652702332,successful
splm_optimizer__hinge_loss__2021_06_26__00_11_09,50,1000,20,20,step_beta,7,7,0.62,0.5715,0.7455021142959595,0.7777270078659058,0.045193602409186344,0.03633425136595801,15.475443267822266,successful
