,K,batch_size,beta,epochs,best_train_accuracy,best_eval_accuracy,min_train_loss,min_eval_loss,std_train_loss,std_eval_loss,mean_epoch_time,status
splm_optimizer__hinge_loss__2021_06_18__04_23_20,50,90,10000,200,0.1656565656565656,0.18888888888888888,0.8657068014144897,0.8970197439193726,0.012480574127498789,0.007305126026102219,3.5798603427410125,successful
splm_optimizer__hinge_loss__2021_06_18__04_35_44,50,90,1000,200,0.5595959595959596,0.4888888888888889,0.8452776670455933,0.8546409010887146,0.01541335771052682,0.013930488754359946,3.6440863859653474,successful
splm_optimizer__hinge_loss__2021_06_18__04_48_21,50,90,100,100,0.6787878787878787,0.6777777777777778,0.16509348154067993,0.19627200067043304,0.28255280729804966,0.26629635299475773,3.7759024834632875,successful
splm_optimizer__hinge_loss__2021_06_18__04_56_45,50,90,31623,200,0.11515151515151519,0.12222222222222222,0.8617339730262756,0.9064422249794006,0.015594940759193066,0.0034140328653297883,3.5572847974300386,successful
splm_optimizer__hinge_loss__2021_06_18__05_09_04,50,90,3162,200,0.29292929292929293,0.28888888888888886,0.8681758046150208,0.8864508271217346,0.009280944532778489,0.007739547889326433,3.607709858417511,successful
splm_optimizer__hinge_loss__2021_06_18__05_21_35,50,90,316,100,0.6404040404040404,0.5444444444444444,0.792644202709198,0.8121007680892944,0.02779151673053146,0.02492355591656726,3.7046543335914612,successful
splm_optimizer__hinge_loss__2021_06_17__12_28_08,50,100,10,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_17__12_57_16,50,100,32,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_17__13_02_58,50,100,3,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_17__14_37_55,50,10,100,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_17__14_44_14,50,10,10,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_17__16_04_07,50,10,32,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_17__16_06_30,50,10,3,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_17__17_11_44,50,20,100,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_17__17_19_29,50,20,10,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_17__18_15_10,50,20,32,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_17__18_17_49,50,20,3,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_17__19_13_10,50,30,100,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_17__19_22_23,50,30,10,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_17__20_10_12,50,30,32,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_17__20_13_12,50,30,3,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_17__21_15_42,50,40,10,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_17__22_00_05,50,40,32,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_17__22_03_41,50,40,3,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_17__23_00_15,50,50,10,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_17__23_41_21,50,50,32,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_17__23_45_26,50,50,3,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_18__00_35_50,50,60,10,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_18__01_12_44,50,60,32,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_18__01_17_04,50,60,3,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_18__02_04_57,50,70,10,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_18__02_40_05,50,70,32,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_18__02_44_51,50,70,3,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_18__03_30_47,50,80,10,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_18__04_04_54,50,80,32,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_18__04_10_12,50,80,3,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_18__04_54_55,50,90,10,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_18__05_28_01,50,90,32,100,,,,,,,,overflow
splm_optimizer__hinge_loss__2021_06_18__05_33_26,50,90,3,100,,,,,,,,overflow
